movie_name,movie_opening,movie_weekend,movie_firstweek,movie_total,movie_total_worldwide,movie_genre,movie_director,release_date,release_day,release_month,release_year,runtime,producer,banner,actors,movie_details
Angrezi Medium,4.03,9.03,9.36,9.36,13.5,"Drama, Comedy",Homi Adajania,"13 March, 2020 ",13,Mar,2020,145," Dinesh Vijan , Jyoti Deshpande"," Maddock Films, Jio Studios"," Irrfan Khan , Radhika Madan, Kareena Kapoor","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true."
Baaghi 3,17.5,53.83,90.67,93.37,137.0,Action,Ahmed Khan,"06 March, 2020 ",6,Mar,2020,147, Sajid Nadiadwala," Nadiadwala Grandson Entertainment, Fox Star Studios"," Tiger Shroff , Shraddha Kapoor, Riteish Deshmukh",A man embarks on a bloody rampage to save his kidnapped brother.
Thappad,3.07,14.66,22.79,30.61,44.5,"Drama, Social",Anubhav Sinha,"28 February, 2020 ",28,Feb,2020,142," Bhushan Kumar , Krishan Kumar, Anubhav Sinha"," Benaras Media Works, T-Series Super Cassettes Industries Ltd."," Taapsee Pannu , Pavail Gulati, Dia Mirza",Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
Shubh Mangal Zyada Saavdhan,9.55,32.66,44.84,62.78,86.39,"Comedy, Romance",Hitesh Kewalya,"21 February, 2020 ",21,Feb,2020,120," Aanand L Rai , Himanshu Sharma, Bhushan Kumar"," Colour Yellow Productions Pvt Ltd, T-Series Super Cassettes Industries Ltd."," Ayushman Khurana , Jitendra Kumar, Gajraj Rao","The road to achieving a happy ending is a little too rough for Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman."
Bhoot: Part One - The Haunted Ship,5.1,16.36,24.18,31.97,40.94,Horror,Bhanu Pratap Singh,"21 February, 2020 ",21,Feb,2020,117," Hiroo Johar , Karan Johar, Apoorva Mehta"," Dharma Productions, Zee Studios"," Vicky Kaushal , Bhumi Pednekar, Ashutosh Rana",A couple is trapped on an abandoned ship lying static on a beach.
Love Aaj Kal,12.0,26.0,32.6,34.99,52.6,Romance,Imtiaz Ali,"14 February, 2020 ",14,Feb,2020,141," Dinesh Vijan , Imtiaz Ali"," Maddock Films, Jio Studios, Reliance Entertainment"," Kartik Aaryan , Sara Ali Khan, Arushi Sharma","Two different individuals on a journey of love, loss and life through the phases of Reincarnation."
Malang,6.71,25.36,39.65,58.04,76.3,"Romance, Action",Mohit Suri,"07 February, 2020 ",7,Feb,2020,134," Bhushan Kumar , Krishan Kumar, Luv Ranjan"," Luv Films, Northern Lights Films, T-Series Super Cassettes Industries Ltd."," Aditya Roy Kapur , Disha Patani, Anil Kapoor","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way."
Shikara,1.2,4.95,6.7,7.95,0.0,"Drama, Romance",Vidhu Vinod Chopra,"07 February, 2020 ",7,Feb,2020,120, Vidhu Vinod Chopra, Fox Star Studios," Sadia , Aadil Khan",Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.
Jawaani Jaaneman,3.24,12.83,20.21,27.91,43.83,"Comedy, Drama",Nitin Kakkar,"31 January, 2020 ",31,Jan,2020,119," Jackky Bhagnani , Deepshikha Deshmukh, Saif Ali Khan"," Pooja Entertainment, Black Knight Films, Northern Lights Films"," Saif Ali Khan , Alaya F, Tabu",A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter.
Panga,2.7,14.91,21.36,25.64,41.58,"Sports, Drama",Ashwiny Iyer Tiwari,"24 January, 2020 ",24,Jan,2020,129, Fox Star Studios, Fox Star Studios," Kangana Ranaut , Jassie Gill, Richa Chadda","Panga is inspired from the life of a national level Kabbadi player from India. It follows her triumphs, struggle and overcoming of stereotypes. It shows how important the love and support of your family is for you to be successful."
Street Dancer 3D,10.26,41.23,56.77,74.22,95.7,Dance,Remo D'Souza,"24 January, 2020 ",24,Jan,2020,144," Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar"," T-Series Super Cassettes Industries Ltd., Remo D'Souza Entertainment"," Varun Dhawan , Shraddha Kapoor, Prabhu Deva",A coming-of-age story based on the lives of street dancers.
Tanhaji: The Unsung Warrior,15.1,61.75,118.91,276.9,341.0,"Historical, Action",Om Raut,"10 January, 2020 ",10,Jan,2020,134," Ajay Devgn , Bhushan Kumar, Krishan Kumar"," T-Series Super Cassettes Industries Ltd., Ajay Devgn Ffilms"," Ajay Devgn , Saif Ali Khan, Kajol","It is based on the life of Tanaji Malusare, a 17th-century Maharashtrian Marathi military leader."
Chhapaak,4.77,19.02,28.38,32.48,55.38,Drama,Meghna Gulzar,"10 January, 2020 ",10,Jan,2020,123," Fox Star Studios , Deepika Padukone, Govind Singh Sandhu"," Fox Star Studios, Ka Productions, Mriga Films"," Deepika Padukone , Vikrant Massey, Madhurjeet Sarghi","The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit."
Good Newwz,17.56,64.99,127.9,201.14,304.71,Comedy,Raj Mehta,"27 December, 2019 ",27,Dec,2019,134," Hiroo Johar , Aruna Bhatia, Karan Johar"," Dharma Productions, Cape of Good Films, Zee Studios"," Akshay Kumar , Kareena Kapoor, Diljit Dosanjh",Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.
Dabangg 3,24.5,81.15,126.55,145.9,212.87,Action,Prabhu Deva,"20 December, 2019 ",20,Dec,2019,163," Salma Khan , Arbaaz Khan, Nikhil Dwivedi"," Salman Khan Films, Saffron Broadcast & Media Limited, Arbaaz Khan Productions"," Salman Khan , Sonakshi Sinha, Saiee M Manjrekar","Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds."
Mardaani 2,3.8,18.15,28.05,47.51,66.86,"Crime, Action, Thriller",Gopi Puthran,"13 December, 2019 ",13,Dec,2019,106, Aditya Chopra, Yash Raj Films," Rani Mukherjee , Vishal Jethwa, Shruti Bapna","Shivani Shivaji Roy locks horns with the devil incarnate, a young & remorseless serial killer who is raping & murdering young women."
Pati Patni Aur Woh,9.1,35.94,55.97,86.77,115.56,Comedy,Mudassar Aziz,"06 December, 2019 ",6,Dec,2019,128," Bhushan Kumar , Renu Ravi Chopra, Krishan Kumar"," B R Studios, T-Series Super Cassettes Industries Ltd."," Kartik Aaryan , Bhumi Pednekar, Ananya Panday","Chintu Tyagi is an ordinary, middle class man who finds himself torn between his wife and another woman."
Panipat,4.12,17.68,25.68,34.28,49.29,"Historical, war, Action",Ashutosh Gowariker,"06 December, 2019 ",6,Dec,2019,162," Sunita Gowariker , Rohit Shelatkar"," Ashutosh Gowariker Productions, Vision World"," Sanjay Dutt , Arjun Kapoor, Kriti Sanon","The film is based on the third battle of Panipat which took place on the 14 of January in 1761 between the Marathas and the King of Afghanistan, Ahmad Shah Abdali."
Commando 3,4.74,18.33,29.24,32.44,40.15,Action,Aditya Datt,"29 November, 2019 ",29,Nov,2019,133," Vipul Shah , Reliance Entertainment, Motion Picture Capital"," Sunshine Pictures Pvt. Ltd, Reliance Entertainment, Motion Picture Capital"," Vidyut Jamwal , Adah Sharma, Angira Dhar",Karan goes to London to stop a terrorist attack on India.
Marjaavaan,7.03,24.42,37.87,48.37,65.34,"Action, Romance, Drama",Milap Zaveri,"15 November, 2019 ",15,Nov,2019,137," Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar"," Emmay Entertainment Pvt. Ltd, T-Series Super Cassettes Industries Ltd."," Siddharth Malhotra , Riteish Deshmukh, Tara Sutaria",Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.
Bala,10.15,43.95,72.24,115.28,169.67,Comedy,Amar Kaushik,"08 November, 2019 ",8,Nov,2019,129, Dinesh Vijan," Maddock Films, Jio Studios"," Ayushman Khurana , Bhumi Pednekar, Yami Gautam",It tells the story of a man who is balding prematurely and how he copes up with the situation.
Ujda Chaman,2.35,9.5,9.5,12.0,0.0,"Comedy, Drama",Abhishek Pathak,"01 November, 2019 ",1,Nov,2019,120," Kumar Mangat Pathak , Abhishek Pathak", Panorama Studios," Sunny Singh Nijjar , Maanvi Gagroo, Saurabh Shukla",Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.
Housefull 4,16.5,46.5,129.35,194.59,279.11,Comedy,Farhad Samji,"25 October, 2019 ",25,Oct,2019,142," Sajid Nadiadwala , Firuzi Khan"," Nadiadwala Grandson Entertainment, Fox Star Studios"," Akshay Kumar , Riteish Deshmukh, Bobby Deol","A set of three brothers are due to marry a set of three sisters, until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married."
Saand Ki Aankh,0.48,2.47,11.68,23.39,30.63,Biographical,Tushar Hiranandani,"25 October, 2019 ",25,Oct,2019,149," Reliance Entertainment , Anurag Kashyap, Nidhi Parmar"," Reliance Entertainment, Chalk and Cheese Films"," Taapsee Pannu , Bhumi Pednekar, Prakash Jha","Both over the age of 60, Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills."
The Sky Is Pink,2.5,10.4,15.15,20.03,34.41,Biographical,Shonali Bose,"11 October, 2019 ",11,Oct,2019,149," Siddharth Roy Kapur , Ronnie Screwvala"," RSVP, Roy Kapur Films, Purple Pebble Pictures"," Priyanka Chopra , Farhan Akhtar, Zaira Wasim","It is based on the love story of a couple spanning 25 years, told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with a Pulmonary fibrosis"
Sye Raa Narasimha Reddy,2.6,0.0,0.0,2.6,0.0,"Historical, Action",Surender Reddy,"02 October, 2019 ",2,Oct,2019,170, Ram Charan," Konidela Production Company, Excel Entertainment"," Chiranjeevi , Amitabh Bachchan, Nayanthara","A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny."
War,53.35,166.25,238.35,318.01,455.0,"Action, Thriller",Siddharth Anand,"02 October, 2019 ",2,Oct,2019,156, Aditya Chopra, Yash Raj Films," Hrithik Roshan , Tiger Shroff, Vaani Kapoor",An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.
Pal Pal Dil Ke Paas,1.25,4.8,4.8,4.8,0.0,"Romance, Drama",Sunny Deol,"20 September, 2019 ",20,Sep,2019,153," Zee Studios , Sunny Sounds Pvt Ltd"," Zee Studios, Sunny Sounds Pvt Ltd"," Karan Deol , Sahher Bambba, Aakash Ahuja","When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal, sparks are bound to fly. But will their love story blossom despite the odds?"
Section 375,1.45,8.04,12.49,12.49,22.3,Drama,Ajay Bahl,"13 September, 2019 ",13,Sep,2019,124," Kumar Mangat Pathak , Abhishek Pathak, SCIPL"," Panorama Studios, SCIPL"," Akshaye Khanna , Richa Chadda, Rahul Bhat","A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence."
Dream Girl,10.05,44.57,72.2,139.7,128.24,Comedy,Raaj Shaandilyaa,"13 September, 2019 ",13,Sep,2019,132," Shobha Kapoor , Ekta Kapoor", Balaji Motion Pictures," Ayushman Khurana , Nushrat Bharucha, Annu Kapoor","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'."
Chhichhore,7.32,35.98,68.83,150.36,170.99,"Comedy, Drama",Nitesh Tiwari,"06 September, 2019 ",6,Sep,2019,146, Sajid Nadiadwala," Fox Star Studios, Nadiadwala Grandson Entertainment"," Sushant Singh Rajput , Shraddha Kapoor, Varun Sharma",Following a group of friends from university as they progress into middle-age life and go their own separate ways.
Saaho,24.4,79.08,116.03,130.98,424.0,"Action, Thriller",Sujeeth,"30 August, 2019 ",30,Aug,2019,171, Vamsi - Pramod," UV Creations, T-Series Super Cassettes Industries Ltd."," Prabhas , Shraddha Kapoor, Jackie Shroff","An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a 'black box', their ultimate key to a treasure."
Batla House,15.55,47.99,69.99,86.04,113.49,"Action, Crime, Thriller",Nikhil Advani,"15 August, 2019 ",15,Aug,2019,146," Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar"," T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, JA Entertainment"," John Abraham , Mrunal Thakur, Manish Choudhary","After a deadly encounter, a police officer struggles to catch the fugitives and prove the police acted lawfully, while being despised by the whole nation."
Mission Mangal,29.16,97.56,128.16,200.16,239.83,Drama,Jagan Shakti,"15 August, 2019 ",15,Aug,2019,133," Cape of Good Films , Hope Productions, Fox Star Studios"," Fox Star Studios, Cape of Good Films, Hope Productions"," Akshay Kumar , Vidya Balan, Taapsee Pannu","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars."
Jabariya Jodi,3.15,12.0,0.0,12.0,0.0,"Action, Romance, Comedy",Prashant Singh,"09 August, 2019 ",9,Aug,2019,144," Shobha Kapoor , Ekta Kapoor, Shailesh R. Singh"," Balaji Motion Pictures, Karma Media Entertainment"," Siddharth Malhotra , Parineeti Chopra, Javed Jaffrey","Based on groom kidnappings in Bihar, where the groom is kidnapped to avoid dowry, the film has Siddharth Malhotra playing a thug who helps kidnap grooms. It also features Parineeti Chopra in a prominent role."
Judgemental Hai Kya,5.4,22.04,31.42,40.1,44.92,"Comedy, Crime, Thriller",Prakash Kovelamudi,"26 July, 2019 ",26,Jul,2019,121," Shobha Kapoor , Ekta Kapoor, Shailesh R. Singh"," Karma Media and Entertainment, Balaji Motion Pictures"," Kangana Ranaut , Rajkummar Rao, Jimmy Shergill",Following the story of two quirky individuals whose lives pivot between reality and illusions.
Super 30,11.83,50.76,75.85,146.58,184.97,Biographical,Vikas Bahl,"12 July, 2019 ",12,Jul,2019,154," Nadiadwala Grandson Entertainment , Phantom Films, Reliance Entertainment"," Nadiadwala Grandson Entertainment, Phantom Productions, HRX Films"," Hrithik Roshan , Mrunal Thakur, Nandish Singh",Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
Article 15,5.02,20.04,34.21,63.05,90.15,"Crime, Thriller",Anubhav Sinha,"28 June, 2019 ",28,Jun,2019,131," Anubhav Sinha , Zee Studios"," Zee Studios, Benaras Media Works"," Ayushman Khurana , Isha Talwar, Sayani Gupta","Set against the backdrop of Badaun gangrape and murder case (2014), Anubhav Sinha's Article 15 is a thrilling investigative drama based on true events."
Kabir Singh,20.21,70.83,134.42,278.24,369.58,Drama,Sandeep Reddy Vanga,"21 June, 2019 ",21,Jun,2019,175," Bhushan Kumar , Krishan Kumar, Murad Khetani"," T-Series Super Cassettes Industries Ltd., Cine1 Studios"," Shahid Kapoor , Kiara Advani, Arjan Bajwa","Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017), where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person."
Game Over,0.97,4.95,9.02,11.06,11.06,Thriller,Ashwin Saravanan,"14 June, 2019 ",14,Jun,2019,103, S. Sashikanth," Y Not Studios, Reliance Entertainment"," Taapsee Pannu , Vinodhini Vaidyanathan, Anish Kuruvilla",A nyctophobic woman has to fight her inner demons to stay alive in the game called life.
Bharat,42.3,150.1,180.05,201.86,314.68,"Drama, Period",Ali Abbas Zafar,"05 June, 2019 ",5,Jun,2019,155," Atul Agnihotri , Alvira Khan Agnihotri, Bhushan Kumar"," Salman Khan Films, Reel Life Production Pvt Ltd"," Salman Khan , Katrina Kaif, Disha Patani","At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what."
PM Narendra Modi,2.88,11.76,19.21,20.95,23.0,Biographical,Omung Kumar,"24 May, 2019 ",24,May,2019,131," Suresh Oberoi , Sandeep Singh", Legend Studios," Vivek Oberoi , Manoj Joshi, Boman Irani",Biography of India's Prime Minister Shri Narendra Modi.
India's Most Wanted,2.1,8.25,10.9,10.9,14.23,"Action, Thriller",Rajkumar Gupta,"24 May, 2019 ",24,May,2019,123," Fox Star Studios , Rajkumar Gupta, Myra Karn"," Fox Star Studios, Raapchik Films"," Arjun Kapoor , Pravin Singh Sisodia, Devendra Mishra",A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.
De De Pyaar De,10.41,38.54,61.05,95.86,129.25,"Comedy, Romance",Akiv Ali,"17 May, 2019 ",17,May,2019,135," Bhushan Kumar , Luv Ranjan, Ankur Garg", Luv Films," Ajay Devgn , Tabu, Rakul Preet",A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.
Student Of The Year 2,12.06,38.83,56.83,68.82,96.06,"Drama, Romance, Action",Punit Malhotra,"10 May, 2019 ",10,May,2019,146," Hiroo Johar , Karan Johar, Apoorva Mehta"," Dharma Productions, Fox Star Studios"," Tiger Shroff , Tara Sutaria, Ananya Panday","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy."
Blank,0.97,3.72,5.11,5.15,0.0,"Action, Thriller",Tony D'souza,"03 May, 2019 ",3,May,2019,111," Sunny Deol , Karan Kapadia, Ishita Dutta", Behzad Khambata,,
Kalank,21.6,62.75,73.7,74.23,121.96,"Period, Drama, Romance",Abhishek Varman,"17 April, 2019 ",17,Apr,2019,168," Karan Johar , Sajid Nadiadwala, Hiroo Johar"," Fox Star Studios, Dharma Productions, Nadiadwala Grandson Entertainment"," Varun Dhawan , Alia Bhatt, Sonakshi Sinha","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India."
The Tashkent Files,0.4,2.2,3.5,16.75,0.0,"Drama, Period, Mystery, Thriller",Vivek Agnihotri,"12 April, 2019 ",12,Apr,2019,144," Pranay Chokshi , Haresh Patel, Vivek Agnihotri", Zee Studios," Mithun Chakraborty , Naseeruddin Shah, Shweta Basu Prasad","The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
Romeo Akbar Walter,5.35,20.85,30.0,36.54,53.33,"Spy, Action, Thriller",Robbie Grewal,"05 April, 2019 ",5,Apr,2019,145," Viacom18 Motion Pictures , Dheeraj Wadhawan, Ajay Kapoor"," Viacom18 Motion Pictures, Kyta Productions, VA Film Company"," John Abraham , Jackie Shroff, Mouni Roy","During the India-Pakistan war of 1971, an Indian banker is recruited by RAW (Research and Analysis Wing) for a covert operation deep inside Pakistan."
Junglee,3.35,13.85,21.2,24.3,32.53,"Action, Thriller",Chuck Russell,"29 March, 2019 ",29,Mar,2019,115, Vineet Jain, Junglee Pictures," Vidyut Jamwal , Pooja Sawant, Asha Bhat","The story revolves around a vet, who on his homecoming to his father's elephant reserve, encounters and fights an international poachers racket."
Kesari,21.06,78.07,105.86,150.91,173.97,"Period, Action, war",Anurag Singh,"21 March, 2019 ",21,Mar,2019,150," Hiroo Johar , Aruna Bhatia, Karan Johar"," Azure Entertainment, Cape of Good Films, Zee Studios"," Akshay Kumar , Parineeti Chopra, Vansh Bhardwaj",The story of a Sikh warrior who participates in the Battle of Saragarhi while yearning for the respect of his estranged daughter.
Badla,5.04,23.2,38.0,88.02,130.12,"Crime, Thriller",Sujoy Ghosh,"08 March, 2019 ",8,Mar,2019,120," Akshai Puri , Shah Rukh Khan, Sunir Kheterpal"," Red Chillies Entertainment, Azure Entertainment"," Amitabh Bachchan , Taapsee Pannu, Amrita Singh",A lawyer investigates further into the suspicious circumstances surrounding the death of a young man.
Luka Chuppi,8.01,32.13,53.7,94.15,122.84,"Comedy, Romance",Laxman Utekar,"01 March, 2019 ",1,Mar,2019,126, Dinesh Vijan, Maddock Films," Kartik Aaryan , Kriti Sanon, Aparshakti Khurrana","Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families."
Sonchiriya,1.2,4.6,6.55,6.55,0.0,"Crime, Action",Abhishek Chaubey,"01 March, 2019 ",1,Mar,2019,146, Ronnie Screwvala, RSVP," Sushant Singh Rajput , Bhumi Pednekar, Manoj Bajpai","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands."
Total Dhamaal,16.5,62.4,94.55,150.76,152.19,Comedy,Indra Kumar,"22 February, 2019 ",22,Feb,2019,130," Ajay Devgn , Ashok Thakeria, Markand Adhikari", Fox Star Studios," Ajay Devgn , Anil Kapoor, Madhuri Dixit",A group of people learn about a hidden treasure and then they race to find it and claim it.
Gully Boy,19.4,72.45,100.3,139.38,222.72,Musical,Zoya Akhtar,"14 February, 2019 ",14,Feb,2019,156," Ritesh Sidhwani , Zoya Akhtar, Farhan Akhtar"," Excel Entertainment, Tiger Baby"," Ranveer Singh , Alia Bhatt, Kalki Koechlin",A coming-of-age story based on the lives of street rappers in Mumbai.
Amavas,0.75,2.5,2.85,2.85,0.0,Horror,Bhushan Patel,"08 February, 2019 ",8,Feb,2019,134," Raina Sachiin Joshi , Dipen Amin"," Viiking Media & Entertainment Pvt Ltd., Simply West Productions Ltd, Weeping Grave Production"," Sachiin Joshi , Nargis Fakhri, Vivan Bhatena","The lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay."
Ek Ladki Ko Dekha Toh Aisa Laga,3.3,13.53,19.68,22.01,36.78,"Romance, Drama",Shelly Chopra Dhar,"01 February, 2019 ",1,Feb,2019,121, Vidhu Vinod Chopra," Vinod Chopra Films, Fox Star Studios"," Anil Kapoor , Sonam Kapoor, Rajkummar Rao","The film tells the story of Sweety Chaudhary, a closeted lesbian, and her attempts to come out to her conservative and traditional family."
Manikarnika: The Queen Of Jhansi,8.75,42.55,61.15,91.7,129.74,Biographical,Krish,"25 January, 2019 ",25,Jan,2019,148," Zee Studios , Kamal Jain"," Zee Studios, Kairos Kontent Studios"," Jisshu Sengupta , Kangana Ranaut, Jisshu Sengupta","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Raj."
Thackeray,6.0,22.9,31.6,31.6,31.6,Biographical,Abhijit Panse,"25 January, 2019 ",25,Jan,2019,139," Viacom18 Motion Pictures , Shrikant Bhasi, Varsha Sanjay Raut"," Viacom18 Motion Pictures, Carnival Motion Pictures"," Nawazuddin Siddiqui , Amrita Rao, Rajesh Khera","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray."
Why Cheat India,1.71,6.8,8.45,8.45,8.65,"Drama, Social",Soumik Sen,"18 January, 2019 ",18,Jan,2019,121," Bhushan Kumar , Krishan Kumar, Tanuj Garg"," Ellipsis Entertainment, Emraan Hashmi Films"," Emraan Hashmi , Shreya Dhanwanthary, Snigdhadeep Chatterjee","The movie focuses on existing malpractices in country's education system, the whole concept of buying your way through education, jobs and earnings. Even with an evolving education system, the country faces scams like SSC and HSC paper leaks, CBSE re-examination, Vyaapam, etc. The movie tries to shift the attention of people to understand the vulnerability of hardworking and gifted students who get left out."
The Accidental Prime Minister,3.4,11.9,16.3,16.3,31.84,Biographical,Sunil Bohra,"11 January, 2019 ",11,Jan,2019,112," Anupam Kher , Akshaye Khanna, Arjun Mathur", Vijay Ratnakar Gutte,,
Uri: The Surgical Strike,8.2,35.73,70.94,244.06,260.86,Action,Aditya Dhar,"11 January, 2019 ",11,Jan,2019,138, Ronnie Screwvala, RSVP," Vicky Kaushal , Yami Gautam, Paresh Rawal","Based on the true events of 2016, when Indian Army avenged a deadly terrorist attack by carrying out a surgical strike."
