movie_name,movie_opening,movie_weekend,movie_firstweek,movie_total,movie_total_worldwide,movie_genre,movie_director,release_date,release_day,release_month,release_year,runtime,producer,banner,actors,movie_details
Simmba,20.72,75.11,150.81,240.22,317.61,"Action, Comedy, Drama",Rohit Shetty,"28 December, 2018 ",28,Dec,2018,159," Hiroo Johar , Rohit Shetty, Apoorva Mehta"," Dharma Productions, Reliance Entertainment, Rohit Shetty Picturez"," Ranveer Singh , Sara Ali Khan, Sonu Sood","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path."
KGF,2.1,9.2,21.45,43.93,0.0,"Action, Drama",Prashanth Neel,"21 December, 2018 ",21,Dec,2018,155, Vijay Kiragandur," Hombale Films, Excel Entertainment"," Yash , Srinidhi Shetty","A period drama narrates the 1700-year-old history of oppressed waging wars against their oppressors. Set in the early 80s, KGF - the first chapter centers the protagonist who leads a battle against oppressors."
Zero,19.35,54.6,82.6,88.85,170.12,"Comedy, Romance",Aanand L Rai,"21 December, 2018 ",21,Dec,2018,158, Gauri Khan," Red Chillies Entertainment, Colour Yellow Productions Pvt Ltd"," Shah Rukh Khan , Anushka Sharma, Katrina Kaif","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
Kedarnath,7.25,27.75,42.45,57.44,95.36,Drama,Abhishek Kapoor,"07 December, 2018 ",7,Dec,2018,120," Ronnie Screwvala , Pragya Kapoor"," Guy In The Sky Pictures, RSVP"," Sushant Singh Rajput , Sara Ali Khan, Nitish Bharadwaj","A Hindu-Muslim love story, Kedarnath portrays how a Muslim pithoo saves a Hindu tourist from the Uttrakhand floods at the pilgrimage, and the love that eventually develops between them."
2.0,20.25,95.0,139.75,177.75,520.0,"Sci-fi, Action",Shankar,"29 November, 2018 ",29,Nov,2018,146, Subaskaran," Lyca Productions, Dharma Productions"," Rajinikanth , Akshay Kumar, Amy Jackson","After facing a threat that is beyond the current understanding of science, the Government seeks the help of scientists. Dr. Vaseegaran suggests to assemble Chitti to fight against it."
Bhaiaji Superhittt,1.0,3.2,4.25,6.25,0.0,"Comedy, Action",Neerraj Pathak,"23 November, 2018 ",23,Nov,2018,133, Chirag Mahendra Dhariwal, Metro Movies," Sunny Deol , Preity Zinta, Arshad Warsi",
Pihu,0.45,1.6,2.5,2.5,0.0,"Drama, Thriller",Vinod Kapri,"16 November, 2018 ",16,Nov,2018,93," Ronnie Screwvala , Siddharth Roy Kapur"," RSVP, Roy Kapur Films", Myra Vishwakarma,"The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations."
Mohalla Assi,0.25,0.55,1.8,1.8,0.0,Drama,Dr Chandrakprakash Dwivedi,"16 November, 2018 ",16,Nov,2018,120, Vinay Tiwari, Crossword Entertainment Pvt Ltd," Sunny Deol , Saakshi Tanwar, Saurabh Shukla",A Sanskrit priest decides to take matters in his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.
Thugs Of Hindostan,52.25,123.0,140.4,151.04,251.84,"Action, Adventure",Vijay Krishna Acharya,"08 November, 2018 ",8,Nov,2018,165, Aditya Chopra, Yash Raj Films," Amitabh Bachchan , Aamir Khan, Katrina Kaif","In the 18th century, the British East India Company is pitted against Khudabaksh, a 'Thug of the Seas' fighting to liberate his country. The English, not knowing how to defeat him, call on a talented con artist, Firangi Mallah."
Baazaar,3.07,11.93,18.05,28.02,0.0,"Crime, Drama",Gauravv K Chawla,"26 October, 2018 ",26,Oct,2018,140," Dheeraj Wadhawan , Ajay Kapoor, Monisha Advani", Emmay Entertainment Pvt. Ltd," Saif Ali Khan , Rohan Mehra, Chitrangada Singh",
Badhaai Ho,7.35,45.7,66.1,136.8,180.0,Comedy,Amit Ravindernath Sharma,"18 October, 2018 ",18,Oct,2018,126," Vineet Jain , Aleya Sen, Hemant Bhandari"," Chrome Pictures, Junglee Pictures"," Ayushman Khurana , Sanya Malhotra, Neena Gupta",A man faces embarrassment in the society when he finds out his mother is pregnant
Tumbbad,0.65,3.25,5.85,13.48,8.09,"Horror, Thriller",Rahi Anil Barve,"12 October, 2018 ",12,Oct,2018,113," Sohum Shah , Aanand L Rai, Mukesh Shah"," Eros International, Colour Yellow Productions Pvt Ltd"," Sohum Shah , Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
AndhaDhun,2.7,15.0,27.65,41.9,71.74,"Thriller, Suspense, Crime",Sriram Raghavan,"05 October, 2018 ",5,Oct,2018,140," Ayushman Khurana , Radhika Apte, Tabu"," Viacom18 Motion Pictures, Matchbox Pictures",,
Sui Dhaaga: Made In India,8.3,36.6,62.5,79.02,100.0,"Drama, Social",Sharat Katariya,"28 September, 2018 ",28,Sep,2018,122, Maneesh Sharma, Yash Raj Films," Varun Dhawan , Anushka Sharma, Raghubir Yadav","A heart-warming story of pride and self-reliance, rooted in the heart of India."
Pataakha,0.9,4.05,7.64,7.64,0.0,Drama,Vishal Bhardwaj,"28 September, 2018 ",28,Sep,2018,136," Dheeraj Wadhawan , Ajay Kapoor, Ishan Saksena"," Kyta Productions, B4U Motion Pictures, Vishal Bhardwaj Pictures Pvt Ltd"," Sanya Malhotra , Radhika Madan, Sunil Grover","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them."
Batti Gul Meter Chalu,6.76,23.26,34.43,37.26,44.63,Drama,Shree Narayan Singh,"21 September, 2018 ",21,Sep,2018,163," Bhushan Kumar , Krishan Kumar, Nitin Chandrachud"," T-Series Super Cassettes Industries Ltd., Krti Pictures"," Shahid Kapoor , Shraddha Kapoor, Yami Gautam","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening."
Manmarziyaan,3.52,14.33,21.4,26.45,39.93,"Drama, Romance",Anurag Kashyap,"14 September, 2018 ",14,Sep,2018,157," Aanand L Rai , Vikas Bahl, Vikramaditya Motwane"," Colour Yellow Productions Pvt Ltd, Phantom Productions, Eros International"," Abhishek Bachchan , Taapsee Pannu, Vicky Kaushal","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material."
Yamla Pagla Deewana Phir Se,1.82,6.32,9.42,9.42,14.7,Comedy,Bobby Deol,"31 August, 2018 ",31,Aug,2018,148,, Navaniat Singh,,
Stree,6.83,32.27,60.39,129.67,150.18,"Comedy, Horror",Amar Kaushik,"31 August, 2018 ",31,Aug,2018,130," Dinesh Vijan , Raj Nidimoru, Krishna D.K.", Maddock Films," Rajkummar Rao , Shraddha Kapoor, Aparshakti Khurrana","Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles."
Happy Phirr Bhag Jayegi,2.7,11.78,18.11,18.11,27.85,Comedy,Mudassar Aziz,"24 August, 2018 ",24,Aug,2018,137," Aanand L Rai , Krishika Lulla"," Eros International, Colour Yellow Productions Pvt Ltd"," Sonakshi Sinha , Diana Penty, Jimmy Shergill",
Gold,25.25,71.3,89.3,107.37,149.5,,Reema Kagti,"15 August, 2018 ",15,Aug,2018,153," Ritesh Sidhwani , Farhan Akhtar", Excel Entertainment," Akshay Kumar , Mouni Roy, Kunal Kapoor","Set in 1948, the historic story of India's first Olympic medal post their independence."
Satyameva Jayate,20.52,56.91,75.09,75.09,106.67,"Action, Thriller",Milap Zaveri,"15 August, 2018 ",15,Aug,2018,141," Bhushan Kumar , Krishan Kumar, Monisha Advani"," T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd"," John Abraham , Manoj Bajpai, Aisha Sharma","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law."
Fanney Khan,2.15,7.15,9.85,9.85,16.55,Drama,Atul Manjrekar,"03 August, 2018 ",3,Aug,2018,130," Bhushan Kumar , Rakeysh Omprakash Mehra, Anil Kapoor"," Rakeysh Omprakash Mehra Pictures, T-Series Super Cassettes Industries Ltd."," Anil Kapoor , Aishwarya Rai, Rajkummar Rao",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.
Mulk,1.68,8.16,12.81,17.51,26.28,Drama,Anubhav Sinha,"03 August, 2018 ",3,Aug,2018,140," Deepak Mukut , Anubhav Sinha"," Benaras Media Works, Soham Rockstar Entertainment"," Rishi Kapoor , Taapsee Pannu, Rajat Kapoor",One family member tries to help her own family which are trapped in a dark controversy.
Karwaan,1.6,8.1,12.4,16.55,22.87,"Drama, Comedy",Akarsh Khurana,"03 August, 2018 ",3,Aug,2018,120," Ronnie Screwvala , Priti Gupta"," RSVP, Ishka Films"," Irrfan Khan , Dulquer Salmaan, Mithila Palkar","The movie depicts a journey carried out from Bangalore to Kochi by two friends, the reserved Avinash played by Dulquer Salmaan, and his friend Shaukat played by Irrfan Khan with a lighter take on life, who pick up the chirpy teenager Mithila on the way."
Dhadak,8.71,33.67,51.56,69.16,109.88,"Drama, Romance",Shashank Khaitan,"20 July, 2018 ",20,Jul,2018,138," Karan Johar , Zee Studios, Hiroo Johar"," Dharma Productions, Zee Studios"," Ishaan Khatter , Janhvi Kapoor, Ashutosh Rana","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings."
Soorma,3.2,13.85,21.21,30.11,38.14,"Biographical, Sports",Shaad Ali,"13 July, 2018 ",13,Jul,2018,131," Sony Pictures Networks Productions , Chitrangada Singh, Deepak Singh"," Sony Pictures Networks Productions, CS Films"," Diljit Dosanjh , Taapsee Pannu, Angad Bedi","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport."
Sanju,34.75,120.06,202.51,341.22,579.0,Biographical,Rajkumar Hirani,"29 June, 2018 ",29,Jun,2018,162," Vidhu Vinod Chopra , Rajkumar Hirani"," Vinod Chopra Films, Rajkumar Hirani Films, Fox Star Studios"," Ranbir Kapoor , Paresh Rawal, Manisha Koirala","A biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life."
Race 3,29.17,106.47,144.51,161.04,300.04,"Action, Thriller",Remo D'Souza,"15 June, 2018 ",15,Jun,2018,160," Salma Khan , Ramesh S. Taurani"," Tips Music Films, Salman Khan Films"," Salman Khan , Jacqueline Fernandez, Anil Kapoor",Revolves around a family that deals in borderline crime; ruthless and vindictive to the core.
Veere Di Wedding,10.7,36.52,56.96,80.23,88.64,Comedy,Shashanka Ghosh,"01 June, 2018 ",1,Jun,2018,125," Shobha Kapoor , Anil Kapoor, Ekta Kapoor"," Anil Kapoor Film Company, Balaji Motion Pictures"," Kareena Kapoor , Sonam Kapoor, Swara Bhaskar",Four girls on their way to find true love discover that friendship this strong has its consequences.
Parmanu: The Story of Pokhran,4.82,20.78,35.41,65.36,70.82,Action,Abhishek Sharma,"25 May, 2018 ",25,May,2018,130," Zee Studios , John Abraham, Kyta Productions"," Zee Studios, JA Entertainment, Kyta Productions"," John Abraham , Diana Penty, Boman Irani","A look at India's second confidential nuclear test series at Pokhran lead by Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure."
Raazi,7.53,32.94,56.59,123.17,183.87,"Drama, Social, Thriller",Meghna Gulzar,"11 May, 2018 ",11,May,2018,140," Vineet Jain , Karan Johar, Hiroo Johar"," Dharma Productions, Junglee Pictures"," Alia Bhatt , Vicky Kaushal, Rajit Kapoor",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
102 Not Out,3.52,16.65,27.7,51.79,77.82,Comedy,Umesh Shukla,"04 May, 2018 ",4,May,2018,101," SPE Films India , Treetop Entertainment"," Treetop Entertainment, Benchmark Pictures, Sony Pictures"," Amitabh Bachchan , Rishi Kapoor, Jimit Trivedi",
Omerta,0.54,2.63,3.63,3.63,4.0,Drama,Hansal Mehta,"04 May, 2018 ",4,May,2018,98, Nahid Khan, Swiss Entertainment Pvt. Ltd.," Rajkummar Rao , Rajesh Tailang, Timothy Ryan Hickernell","A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002."
Nanu Ki Jaanu,0.75,3.1,4.0,4.09,0.0,Comedy,Faraz Haider,"20 April, 2018 ",20,Apr,2018,133, Sajid Qureshi," Inbox Pictures Pvt. Ltd., PVR Pictures"," Abhay Deol , Patralekha, Manu Rishi",
October,5.04,20.25,30.24,45.36,54.23,"Drama, Romance",Shoojit Sircar,"13 April, 2018 ",13,Apr,2018,116," Ronnie Lahiri , Sheel Kumar"," Rising Sun Films, Kino Works"," Varun Dhawan , Banita Sandhu, Gitanjali Rao",An unusual story about the unrequited love between two hotel management interns and how things unfold after the girl meets with an accident.
Blackmail,2.81,11.22,16.92,19.11,28.6,Comedy,Abhinay Deo,"06 April, 2018 ",6,Apr,2018,139," Bhushan Kumar , Krishan Kumar, Abhinay Deo"," T-Series Super Cassettes Industries Ltd., RDP Motion Pictures"," Irrfan Khan , Kirti Kulhari, Arunoday Singh",The whole world of a common man comes crashing down around him when he finds out that his wife is having an extramarital affair in his absence.
Baaghi 2,25.1,73.1,112.85,165.5,251.31,"Action, Romance",Ahmed Khan,"30 March, 2018 ",30,Mar,2018,145, Sajid Nadiadwala," Nadiadwala Grandson Entertainment, Fox Star Studios"," Tiger Shroff , Disha Patani, Manoj Bajpai","A hapless mother contacts her ex-boyfriend to help her find her missing daughter. The man goes all out to find the little girl and, in the process, several secrets come tumbling out."
Hichki,3.3,15.35,26.1,46.17,75.76,"Drama, Social",Siddharth P Malhotra,"23 March, 2018 ",23,Mar,2018,140, Maneesh Sharma, Yash Raj Films," Rani Mukherjee , Supriya Pilgaonkar, Sachin Pilgaonkar",A teacher with having Tourette syndrome does not only overcome her challenges but also helps some economically backward children to find their path.
Raid,10.04,41.01,63.05,101.54,142.73,"Crime, Thriller",Rajkumar Gupta,"16 March, 2018 ",16,Mar,2018,128," Bhushan Kumar , Krishan Kumar, Kumar Mangat Pathak"," T-Series Super Cassettes Industries Ltd., Panorama Studios"," Ajay Devgn , Ileana D'cruz, Saurabh Shukla",An Income Tax Officer seizes the bungalow of one of the most powerful and corrupt politicians in Lucknow and conducts one of the longest running raids India ever witnessed.
Hate Story IV,3.76,12.57,20.04,20.04,26.0,Thriller,Vishal Pandya,"09 March, 2018 ",9,Mar,2018,131," Krishan Kumar , Bhushan Kumar", T-Series Super Cassettes Industries Ltd.," Urvashi Rautela , Vivan Bhatena, Karan Wahi",
Pari,4.36,15.34,22.75,22.75,40.31,Horror,Prosit Roy,"02 March, 2018 ",2,Mar,2018,137," Anushka Sharma , Karnesh Sharma, KriArj Entertainment"," Clean Slate Films, KriArj Entertainment, Kyta Productions"," Anushka Sharma , Parambrata Chattopadhyay, Rajat Kapoor","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut."
Welcome To New York,1.0,3.0,3.0,0.0,4.0,Comedy,Chakri Toleti,"23 February, 2018 ",23,Feb,2018,124," Vashu Bhagnani , Jackky Bhagnani, Deepshikha Deshmukh"," Pooja Entertainment India Ltd., WIZ Films"," Sonakshi Sinha , Diljit Dosanjh, Karan Johar",
Sonu Ke Titu Ki Sweety,6.42,26.57,45.94,108.71,148.48,Comedy,Luv Ranjan,"23 February, 2018 ",23,Feb,2018,140," Ankur Garg , Luv Ranjan, Bhushan Kumar"," Luv Films, T-Series"," Kartik Aaryan , Nushrat Bharucha, Sunny Singh Nijjar",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.
Aiyaary,3.36,11.7,16.14,17.79,29.23,"Action, Thriller",Neeraj Pandey,"16 February, 2018 ",16,Feb,2018,160," Shital Bhatia , Dhaval Gada, Aksshay Gada"," Reliance Entertainment, A Friday Filmworks, Plan C Studios"," Siddharth Malhotra , Manoj Bajpai, Rakul Preet","A recent stint in surveillance causes a military intelligence officer to go rogue with highly sensitive data related to his organization, while his mentor, a colonel, tries to catch him before time runs out completely."
Pad Man,10.26,40.05,62.87,80.0,120.56,Social,R. Balki,"09 February, 2018 ",9,Feb,2018,140," Twinkle Khanna , Prernaa Arora, Arjun N. Kapoor"," Mrs Funnybones Movies, KriArj Entertainment, Hope Productions"," Akshay Kumar , Radhika Apte, Sonam Kapoor","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
Padmaavat,24.0,114.0,166.5,300.26,585.0,"Historical, Drama, Action",Sanjay Leela Bhansali,"25 January, 2018 ",25,Jan,2018,163," Sanjay Leela Bhansali , Sudhanshu Vats, Ajit Andhare"," Viacom18 Motion Pictures, Bhansali Productions"," Deepika Padukone , Shahid Kapoor, Ranveer Singh",A group of fearless Rajput women self-immolates themselves to save their dignity and honor from atrocious Sultan Alauddin Khilji.
1921,1.56,6.45,11.58,15.67,23.4,Horror,Vikram Bhatt,"12 January, 2018 ",12,Jan,2018,144," Reliance Entertainment , Vikram Bhatt"," Reliance Entertainment, Motion Picture Capital"," Zarine Khan , Karan Kundra, Vikram Bhatt","A young Indian boy, who visits London to study music, is terrified to know that the manor is he living in is haunted. Rose is able to feel and talk to spirits, so she decides to help him in his ordeal."
Kaalakaandi,1.25,3.85,5.77,5.77,6.5,Drama,Akshat Verma,"12 January, 2018 ",12,Jan,2018,112," Rohit Khattar , Ashi Dua"," Cinestaan Film Company, Flying Unicorn Entertainment"," Saif Ali Khan , Sobhita Dhulipala, Akshay Oberoi",The film revolves around the lives of 6 people and how in just one night they screw up things for themselves.
Mukkabaaz,0.82,4.04,6.73,8.87,13.0,"Drama, Sports",Anurag Kashyap,"12 January, 2018 ",12,Jan,2018,155," Aanand L Rai , Madhu Mantena, Vikramaditya Motwane"," Eros International, Phantom Productions, Colour Yellow Productions Pvt Ltd"," Vineet Kumar Singh , Zoya Hussain, Jimmy Shergill","A Bareilly based boxer wants to play at state and national level, but the powerful senior boxer won't let it happen due to his hurt ego."
Tiger Zinda Hai,34.1,114.93,206.04,339.16,558.0,"Action, Thriller",Ali Abbas Zafar,"22 December, 2017 ",22,Dec,2017,161, Aditya Chopra, Yash Raj Films," Salman Khan , Katrina Kaif, Sajjad Delafrooz","Tiger and Zoya return to rescue 40 nurses held hostage by Abu Usman, the head of terrorist organization ISC."
Fukrey Returns,8.1,32.2,50.55,80.13,101.78,Comedy,Mrigdeep Singh Lamba,"08 December, 2017 ",8,Dec,2017,131," Ritesh Sidhwani , Farhan Akhtar", Excel Entertainment," Richa Chadda , Pulkit Samrat, Varun Sharma","Lady don, Bholi Punjaban, is out from jail and now she wants Rs.10 crores from the four fukras, so that she could give the money to the powerful politician who arranged her release from prison."
Firangi,1.85,6.6,9.5,9.5,10.3,Comedy,Rajiev Dhingra,"01 December, 2017 ",1,Dec,2017,160, Kapil Sharma, K9 Films," Kapil Sharma , Ishita Dutta, Monica Gill","An unemployed village boy during the British Raj gets a job in the British police force. But instead of bringing happiness, the new job gets him into a whirlpool of several problems."
Tumhari Sulu,2.87,12.87,19.78,34.14,50.8,"Comedy, Drama",Suresh Triveni,"17 November, 2017 ",17,Nov,2017,140," Bhushan Kumar , Krishan Kumar, Tanuj Garg"," Ellipsis Entertainment, T-Series Super Cassettes Industries Ltd."," Vidya Balan , Manav Kaul, Neha Dhupia","Middle-class Sulu wants to live life to the hilt, so she becomes a late night Radio jockey to add spice to her dull life and earn some extra money."
Aksar 2,0.8,2.9,5.3,5.6,11.0,Thriller,Anant Mahadevan,"17 November, 2017 ",17,Nov,2017,117," Narendra Bajaj , Chirag Bajaj", Siddhi Vinayak Creations," Zarine Khan , Gautam Rode, Abhinav Shukla","A bunch of people uses their whole bag of tricks to obtain possession of the property of an ill and aging woman called Dolly Khambatta, without realizing that their avarice can lead them to destructive consequences."
Qarib Qarib Singlle,1.75,8.3,12.15,12.15,17.0,"Comedy, Romance",Tanuja Chandra,"10 November, 2017 ",10,Nov,2017,125," Zee Studios , Sutapa Sikdar, Shailja Kejriwal"," Jar Pictures, Zee Studios"," Irrfan Khan , Parvathy, Neha Dhupia",Two diametrically opposite people find love on their way to meeting their excess in various different parts of the county.
Ittefaq,4.05,16.05,23.65,27.4,51.47,Thriller,Abhay Chopra,"03 November, 2017 ",3,Nov,2017,107," Renu Ravi Chopra , Hiroo Johar, Gauri Khan"," B R Films, Dharma Productions, Red Chillies Entertainment"," Siddharth Malhotra , Sonakshi Sinha, Akshaye Khanna","In a rainy night in Mumbai, the police find two dead bodies and, surprisingly, there are two prime suspects in what once seemed like an open-and-shut case."
Golmaal Again,30.14,87.6,136.07,205.52,309.37,Comedy,Rohit Shetty,"20 October, 2017 ",20,Oct,2017,151, Rohit Shetty, Reliance Entertainment," Ajay Devgn , Parineeti Chopra, Arshad Warsi","A bunch of ex-friends, keeping their all differences aside, join hands to save the orphanage where they had spent some most memorable moments of their lives."
Secret Superstar,4.8,31.1,41.59,59.34,547.0,"Drama, Musical",Advait Chandan,"19 October, 2017 ",19,Oct,2017,150," Aamir Khan , Kiran Rao, Zee Studios"," Zee Studios, Aamir Khan Productions"," Zaira Wasim , Meher Vij, Raj Arjun","A girl, who hails from a conservative Muslim family, has only one dream in her eyes - to become a singer. When her father does not value and support her dream, she takes to YouTube and becomes an overnight star."
Chef,1.05,4.0,5.6,6.37,5.0,Drama,Raja Krishna Menon,"06 October, 2017 ",6,Oct,2017,133," Krishan Kumar , Vikram Malhotra, Janani Ravichandran", T-Series," Saif Ali Khan , Padmapriya, Svar Kamble","The story of a man who left his career to follow his passion and to reunite with the most important people in life, his family."
Judwaa 2,16.1,59.25,98.08,138.47,215.0,Comedy,David Dhawan,"29 September, 2017 ",29,Sep,2017,150, Sajid Nadiadwala," Nadiadwala Grandson Entertainment, Fox Star Studios"," Varun Dhawan , Jacqueline Fernandez, Taapsee Pannu",Twins Raja and Prem separate right after their birth and meet as grown-ups to take revenge from a high profile criminal who had stolen the former from the hospital because their father had helped the police in arresting him in a smuggling case.
Newton,0.96,6.9,11.83,22.79,65.0,"Comedy, Drama",Amit Masurkar,"22 September, 2017 ",22,Sep,2017,107, Manish Mundra," Eros International, Colour Yellow Productions Pvt Ltd, Drishyam Films"," Rajkummar Rao , Pankaj Tripathi, Anjali Patil","Nutan Kumar aka Newton, a newly recruited government employee gives his all to fulfil his responsibility of carrying out fair election in a Naxal hit area."
Bhoomi,2.25,7.48,10.28,10.63,15.68,Drama,Omung Kumar,"22 September, 2017 ",22,Sep,2017,135," Sandeep Singh , Bhushan Kumar, Krishan Kumar"," T-Series Super Cassettes Industries Ltd., Legend Studios"," Sanjay Dutt , Aditi Rao Hydari, Sharad Kelkar","A gory revenge tale of father and daughter, who seeks redemption for the injustice for caused by the Dhaulia!"
Haseena Parkar,1.87,6.1,8.0,8.03,9.0,"Biographical, Crime",Apoorva Lakhia,"22 September, 2017 ",22,Sep,2017,124, Nahid Khan, Swiss Entertainment Pvt. Ltd.," Shraddha Kapoor , Siddhanth Kapoor, Ankur Bhatia",The biographical film on the life of Haseena Parkar who managed the underworld business of her gangster brother Dawood Ibrahim.
Lucknow Central,2.04,8.42,10.42,11.2,16.95,Thriller,Ranjit Tiwari,"15 September, 2017 ",15,Sep,2017,147," Monisha Advani , Nikhil Advani, Viacom18 Motion Pictures"," Viacom18 Motion Pictures, Emmay Entertainment Pvt. Ltd"," Farhan Akhtar , Diana Penty, Deepak Dobriyal",Kishen is wrongly framed in a murder case and sent to Lucknow Central where he plans to escape with the help of jail inmates.
Simran,2.77,10.65,15.48,17.26,27.69,Drama,Hansal Mehta,"15 September, 2017 ",15,Sep,2017,124," Bhushan Kumar , Shailesh R. Singh, Amit Agarwal"," T-Series Super Cassettes Industries Ltd., Karma Features Pvt. Ltd."," Kangana Ranaut , Sohum Shah, Rupinder Nagra",The bittersweet tale of a 30-year old Gujarati girl Praful Patel who turns to gambling and robbery due to unforeseen circumstances haunting her.
Poster Boys,1.75,7.25,11.2,12.73,18.61,Comedy,Shreyas Talpade,"08 September, 2017 ",8,Sep,2017,131," Sony Pictures Networks Productions , Sunny Sounds Pvt Ltd, Shreyas Talpade"," Sony Pictures Networks Productions, Sunny Sounds Pvt Ltd, Affluence Movies Pvt. Ltd."," Sunny Deol , Bobby Deol, Shreyas Talpade","Jaagavar Chaudhary, Vinay Sharma, and Arjun Singh's embarrassment knows no bounds when, on an unfortunate day, they find their pictures on posters promoting vasectomy. How they prove to the world that they haven't gone under the knife is what forms the crux of the story."
